iter	Passed	Remaining
416	3026	4231
417	3032	4222
418	3037	4212
419	3043	4203
420	3049	4193
421	3054	4184
422	3060	4174
423	3065	4164
424	3070	4154
425	3075	4144
426	3081	4134
427	3086	4124
428	3091	4115
429	3098	4107
430	3104	4099
431	3111	4090
432	3117	4082
433	3125	4075
434	3130	4065
435	3136	4056
436	3141	4047
437	3146	4037
438	3152	4028
439	3160	4022
440	3165	4012
441	3170	4002
442	3176	3993
443	3181	3983
444	3186	3974
445	3192	3964
446	3197	3955
447	3202	3946
448	3207	3936
449	3212	3926
450	3217	3917
451	3223	3907
452	3228	3898
453	3235	3890
454	3240	3881
455	3245	3871
456	3251	3863
457	3256	3853
458	3261	3844
459	3267	3835
460	3272	3826
461	3277	3816
462	3282	3807
463	3287	3798
464	3293	3789
465	3300	3781
466	3306	3773
467	3314	3767
468	3319	3758
469	3324	3749
470	3330	3740
471	3335	3731
472	3340	3722
473	3345	3712
474	3351	3703
475	3356	3694
476	3361	3685
477	3366	3676
478	3371	3667
479	3376	3658
480	3382	3649
481	3387	3640
482	3392	3631
483	3397	3622
484	3402	3613
485	3408	3604
486	3413	3595
487	3418	3586
488	3423	3577
489	3428	3568
490	3434	3560
491	3439	3551
492	3444	3542
493	3458	3542
494	3463	3533
495	3468	3524
496	3473	3515
497	3478	3506
498	3483	3497
499	3489	3489
500	3496	3482
501	3502	3474
502	3510	3469
503	3516	3460
504	3521	3451
505	3527	3443
506	3532	3435
507	3542	3430
508	3547	3421
509	3552	3412
510	3557	3404
511	3562	3395
512	3567	3387
513	3573	3378
514	3578	3370
515	3583	3361
516	3589	3353
517	3594	3344
518	3599	3336
519	3605	3327
520	3610	3319
521	3616	3311
522	3622	3303
523	3628	3295
524	3634	3288
525	3640	3280
526	3645	3272
527	3650	3263
528	3656	3255
529	3661	3246
530	3666	3238
531	3671	3230
532	3677	3221
533	3681	3213
534	3687	3204
535	3694	3197
536	3700	3190
537	3707	3183
538	3715	3177
539	3721	3169
