iter	Passed	Remaining
407	4790	6951
408	4801	6938
409	4812	6925
410	4823	6912
411	4834	6899
412	4846	6888
413	4859	6877
414	4870	6866
415	4883	6855
416	4894	6842
417	4905	6830
418	4917	6818
419	4928	6806
420	4939	6793
421	4950	6780
422	4959	6765
423	4969	6751
424	4982	6741
425	4994	6730
426	5005	6717
427	5015	6703
428	5025	6689
429	5036	6675
430	5058	6677
431	5067	6662
432	5077	6649
433	5087	6634
434	5096	6619
435	5106	6605
436	5118	6594
437	5128	6580
438	5140	6569
439	5150	6555
440	5162	6543
441	5173	6530
442	5184	6518
443	5196	6506
444	5207	6494
445	5217	6481
446	5226	6465
447	5236	6452
448	5247	6439
449	5258	6426
450	5267	6411
451	5276	6397
452	5289	6386
453	5298	6371
454	5308	6359
455	5319	6346
456	5332	6335
457	5342	6321
458	5353	6309
459	5364	6297
460	5375	6285
461	5385	6270
462	5393	6255
463	5402	6240
464	5412	6227
465	5422	6213
466	5432	6200
467	5444	6188
468	5454	6175
469	5464	6162
470	5474	6148
471	5483	6134
472	5495	6122
473	5505	6109
474	5516	6096
475	5526	6084
476	5539	6073
477	5550	6061
478	5576	6065
479	5589	6055
480	5601	6043
481	5612	6031
482	5622	6018
483	5632	6004
484	5640	5989
485	5650	5976
486	5661	5963
487	5671	5950
488	5681	5937
489	5693	5925
490	5703	5913
491	5717	5903
492	5731	5893
493	5741	5880
494	5753	5869
495	5765	5858
496	5776	5846
497	5786	5833
498	5799	5822
499	5810	5810
500	5819	5796
501	5827	5781
502	5842	5772
503	5852	5759
504	5861	5745
505	5871	5731
506	5878	5716
507	5888	5702
508	5896	5688
509	5906	5674
510	5915	5660
511	5926	5648
512	5935	5634
513	5946	5622
514	5957	5610
515	5968	5598
516	5980	5587
517	5990	5574
518	6000	5560
519	6010	5548
520	6021	5536
521	6033	5524
522	6043	5512
523	6054	5500
524	6065	5487
525	6075	5474
526	6085	5462
527	6096	5449
528	6106	5436
529	6117	5424
530	6127	5412
531	6139	5400
532	6149	5387
533	6159	5375
534	6168	5361
535	6179	5349
536	6190	5337
537	6201	5325
538	6212	5313
539	6222	5300
540	6233	5289
541	6245	5277
542	6256	5265
543	6271	5257
544	6282	5244
545	6296	5235
546	6308	5224
547	6319	5212
548	6331	5201
549	6342	5189
550	6353	5176
551	6363	5164
552	6379	5157
553	6388	5142
554	6398	5130
555	6411	5119
556	6423	5108
557	6434	5096
558	6445	5085
559	6455	5072
560	6466	5060
561	6474	5046
562	6483	5032
563	6494	5020
564	6503	5007
565	6514	4995
566	6524	4982
567	6535	4970
568	6546	4958
569	6557	4946
570	6568	4934
571	6579	4923
572	6590	4911
573	6602	4900
574	6614	4889
575	6625	4877
576	6636	4865
577	6648	4853
578	6658	4841
579	6670	4830
580	6681	4818
581	6691	4806
582	6701	4793
583	6713	4782
584	6724	4770
585	6736	4759
586	6748	4747
587	6759	4736
588	6769	4723
589	6780	4711
590	6790	4699
591	6801	4687
592	6811	4675
593	6822	4663
594	6833	4651
595	6844	4639
596	6855	4627
597	6866	4616
598	6878	4604
599	6888	4592
600	6899	4580
601	6909	4568
602	6920	4556
603	6930	4544
604	6938	4529
605	6947	4516
606	6956	4504
607	6966	4491
608	6975	4478
609	6986	4466
610	6997	4454
611	7007	4442
612	7019	4431
613	7028	4418
614	7062	4421
615	7074	4410
616	7086	4398
617	7099	4388
618	7110	4376
619	7127	4368
620	7136	4355
621	7148	4344
622	7159	4332
623	7168	4319
624	7181	4308
625	7189	4295
626	7201	4283
627	7210	4271
628	7222	4260
629	7235	4249
630	7248	4238
631	7261	4228
632	7274	4217
633	7286	4206
634	7299	4195
635	7312	4184
636	7323	4173
637	7333	4161
638	7345	4150
639	7358	4139
640	7370	4128
641	7384	4117
642	7396	4106
643	7409	4095
644	7421	4084
645	7433	4073
646	7445	4062
647	7455	4050
648	7468	4039
649	7479	4027
650	7491	4016
651	7502	4004
652	7511	3991
653	7518	3977
654	7528	3965
655	7538	3953
656	7549	3941
657	7558	3928
658	7570	3917
659	7581	3905
660	7591	3893
661	7603	3882
662	7614	3870
663	7625	3858
664	7637	3847
665	7648	3835
666	7660	3824
667	7671	3812
668	7682	3801
669	7693	3789
670	7703	3777
671	7715	3765
672	7726	3754
673	7738	3742
674	7749	3731
675	7762	3720
676	7773	3708
677	7786	3698
678	7795	3685
679	7805	3673
680	7814	3660
681	7824	3648
682	7833	3635
683	7844	3624
684	7857	3613
685	7868	3601
686	7878	3589
687	7890	3578
688	7901	3566
689	7911	3554
690	7921	3542
691	7931	3530
692	7940	3517
693	7949	3505
694	7959	3493
695	7968	3480
696	7976	3467
697	7987	3455
698	7997	3443
699	8008	3432
700	8018	3420
701	8029	3408
702	8041	3397
703	8053	3385
704	8064	3374
705	8076	3363
706	8087	3351
707	8099	3340
708	8108	3328
709	8117	3315
710	8128	3304
711	8138	3291
712	8146	3279
713	8154	3266
714	8165	3254
715	8176	3243
716	8187	3231
717	8195	3218
718	8207	3207
719	8217	3195
720	8228	3184
721	8239	3172
722	8246	3159
723	8255	3146
724	8262	3134
725	8270	3121
726	8279	3109
727	8288	3096
728	8298	3084
729	8308	3073
730	8316	3060
731	8325	3048
732	8335	3036
733	8344	3024
734	8353	3011
735	8361	2999
736	8369	2986
737	8379	2974
738	8388	2962
739	8398	2950
740	8408	2938
741	8417	2926
742	8425	2914
743	8433	2901
744	8442	2889
745	8480	2887
746	8493	2876
747	8505	2865
748	8518	2854
749	8529	2843
750	8541	2832
751	8552	2820
752	8562	2808
753	8574	2797
754	8584	2785
755	8597	2774
756	8609	2763
757	8618	2751
758	8625	2738
759	8635	2727
760	8646	2715
761	8655	2703
762	8665	2691
763	8675	2679
764	8685	2668
765	8697	2656
766	8708	2645
767	8718	2633
768	8729	2622
769	8739	2610
770	8748	2598
771	8756	2586
772	8767	2574
773	8775	2562
774	8787	2551
775	8800	2540
776	8812	2529
777	8822	2517
778	8830	2505
779	8840	2493
780	8849	2481
781	8859	2469
782	8872	2458
783	8882	2447
784	8891	2435
785	8901	2423
786	8912	2412
787	8921	2400
788	8930	2388
789	8939	2376
790	8949	2364
791	8958	2352
792	8966	2340
793	8976	2328
794	8986	2317
795	8996	2305
796	9005	2293
797	9013	2281
798	9022	2269
799	9036	2259
800	9045	2247
801	9055	2235
802	9065	2223
803	9074	2212
804	9084	2200
805	9094	2189
806	9106	2177
807	9115	2166
808	9125	2154
809	9140	2144
810	9150	2132
811	9162	2121
812	9172	2109
813	9179	2097
814	9189	2086
815	9198	2074
816	9209	2062
817	9218	2051
818	9230	2040
819	9243	2029
820	9257	2018
821	9270	2007
822	9284	1996
823	9292	1984
824	9304	1973
825	9318	1962
826	9331	1952
827	9343	1940
828	9353	1929
829	9362	1917
830	9371	1905
831	9389	1896
832	9401	1884
833	9410	1872
834	9421	1861
835	9432	1850
836	9445	1839
837	9456	1828
838	9465	1816
839	9475	1804
840	9487	1793
841	9495	1781
842	9503	1769
843	9515	1758
844	9527	1747
845	9545	1737
846	9555	1726
847	9566	1714
848	9577	1703
849	9586	1691
850	9598	1680
851	9610	1669
852	9618	1657
853	9630	1646
854	9640	1634
855	9650	1623
856	9665	1612
857	9677	1601
858	9684	1589
859	9693	1577
860	9702	1566
861	9711	1554
862	9723	1543
863	9733	1532
864	9742	1520
865	9757	1509
866	9765	1498
867	9775	1486
868	9784	1474
869	9792	1463
870	9800	1451
871	9808	1439
872	9819	1428
873	9829	1417
874	9842	1406
875	9853	1394
876	9863	1383
877	9873	1371
878	9884	1360
879	9897	1349
880	9907	1338
881	9917	1326
882	9954	1318
883	9965	1307
884	9978	1296
885	9991	1285
886	10000	1274
887	10008	1262
888	10015	1250
889	10027	1239
890	10033	1227
891	10042	1215
892	10053	1204
893	10065	1193
894	10076	1182
895	10087	1170
896	10099	1159
897	10111	1148
898	10124	1137
899	10137	1126
900	10146	1114
901	10156	1103
902	10167	1092
903	10177	1080
904	10186	1069
905	10198	1058
906	10207	1046
907	10217	1035
908	10225	1023
909	10235	1012
910	10244	1000
911	10254	989
912	10263	977
913	10272	966
914	10284	955
915	10296	944
916	10307	932
917	10315	921
918	10326	910
919	10338	899
920	10350	887
921	10360	876
922	10368	865
923	10381	853
924	10394	842
925	10401	831
926	10407	819
927	10419	808
928	10428	797
929	10436	785
930	10447	774
931	10458	763
932	10472	752
933	10482	740
934	10494	729
935	10502	718
936	10512	706
937	10523	695
938	10535	684
939	10547	673
940	10558	662
941	10569	650
942	10577	639
943	10586	627
944	10596	616
945	10611	605
946	10622	594
947	10629	583
948	10640	571
949	10655	560
950	10664	549
951	10675	538
952	10684	526
953	10694	515
954	10704	504
955	10711	493
956	10721	481
957	10730	470
958	10741	459
959	10751	447
960	10763	436
961	10775	425
962	10785	414
963	10791	402
964	10800	391
965	10812	380
966	10821	369
967	10829	358
968	10837	346
969	10849	335
970	10861	324
971	10873	313
972	10884	302
973	10893	290
974	10903	279
975	10913	268
976	10942	257
977	10949	246
978	10958	235
979	10966	223
980	10976	212
981	10983	201
982	10991	190
983	11005	178
984	11017	167
985	11025	156
986	11036	145
987	11047	134
988	11060	123
989	11070	111
990	11080	100
991	11089	89
992	11099	78
993	11108	67
994	11119	55
995	11128	44
996	11138	33
997	11149	22
998	11159	11
999	11170	0
